postalcode,lat,lon
272002,27.2896,79.6344
784025,26.4992,91.3253
262001,28.1324,79.5645
571215,14.255,76.741
796581,22.9284,93.0987
524002,14.8282,79.4182
629252,8.1481,77.3063
562138,12.6039,77.2167
577213,13.85,76.2592
680123,11.8931,76.5594
580005,16.1388,77.9803
321302,26.2367,76.5637
723129,22.9935,87.6981
492099,26.6429,78.3376
754139,20.2033,86.4077
851127,28.4026,78.9556
505505,18.9492,84.2801
631551,12.1317,79.1919
700028,22.3539,88.7833
731125,25.7516,82.4698
206255,26.7659,79.6616
422501,19.5795,74.0529
754030,20.4686,85.5151
628952,10.4972,78.9239
841209,26.707,80.6897
842005,25.1778,88.3616
506101,18.0574,80.7199
403802,15.3974,73.8207
580026,15.6496,75.134
272162,27.8872,79.6785
175139,32.6588,76.7833
412311,19.9344,77.2334
534450,19.716,77.0379
795007,24.9962,93.9285
532440,18.3072,79.6595
312612,24.4575,77.2167
534425,17.1,81.5167
132117,29.8173,77.4148
491559,22.9135,81.0349
415716,18.8256,74.5988
364760,21.7127,73.3089
274304,26.8788,83.0226
802301,22.7423,84.3132
623512,9.3125,78.9887
224149,25.6618,81.3287
624622,10.1205,77.9314
505528,17.6741,78.4096
281104,25.9718,79.0714
639114,9.6668,78.2738
133005,29.321,76.2644
431803,18.9217,74.7243
223224,25.6132,78.5934
743371,22.6505,87.9553
673301,11.15,75.8167
384421,24.6816,73.8166
443203,20.1372,76.2333
577131,13.4303,75.7412
385340,23.0292,75.2872
382021,22.7718,72.3479
742151,22.0417,88.2425
177205,30.1429,77.4029
782127,26.4333,92.35
431731,20.4424,75.7078
755007,25.4375,82.6051
841407,26.7163,82.7035
533468,16.3667,81.5333
797003,25.6698,94.1951
636114,13.0225,79.9563
854318,26.232,86.3502
230404,25.9805,79.0678
341507,26.9405,75.2066
581333,15.541,74.607
276129,25.4743,79.5156
577526,13.038,77.5838
271609,24.9192,81.5624
695043,8.5029,76.9386
306704,25.2349,73.537
523185,13.6399,79.7315
767061,24.448,79.3291
825106,24.6036,84.8776
465113,22.5387,75.911
263127,29.8101,78.5895
306901,25.1799,72.9618
174308,31.8545,74.8212
638703,10.9711,77.5004
676553,10.9194,76.0572
581116,14.1436,75.6787
209864,26.5507,79.9079
193103,23.7709,80.2954
721653,20.7261,86.1179
391140,24.1137,75.1797
758028,22.0084,85.7081
425419,20.1011,73.4405
323024,26.2642,75.678
629810,8.2988,77.442
276304,27.7107,80.1654
735121,31.1222,78.0202
607802,12.25,79.5167
314022,26.7105,75.6012
123110,27.5683,76.4713
621708,11.2284,78.9517
250626,28.9379,77.465
211012,27.1338,78.0639
410504,19.9041,74.824
585218,16.6493,77.3035
402111,19.1183,73.6431
721453,25.069,83.4744
522437,16.3677,80.0061
311802,25.612,75.2518
591131,13.9046,76.6823
835219,22.9024,87.1065
630554,9.9205,78.5595
341029,26.3185,73.485
476229,27.1161,78.5784
500007,17.8669,78.6003
396385,30.0673,76.4174
144039,30.6872,76.0399
803306,27.1274,79.3665
786614,23.7681,76.6446
425524,23.6089,79.9639
631209,13.1759,79.6164
603203,12.9962,80.0751
734010,26.723,88.3806
207120,24.2395,78.7498
440025,21.5095,77.5171
834003,23.4477,85.6577
573136,12.7034,76.425
415626,21.1723,74.607
756128,22.5547,87.4611
626005,8.381,77.6132
395004,24.0735,74.5841
413252,18.5494,76.5478
127022,27.6861,74.7734
461661,23.7022,76.9055
496220,22.4305,83.713
500062,25.4298,75.6779
744101,11.6667,92.75
524005,14.5364,79.7639
799264,24.5804,91.7124
682012,9.9671,76.3031
813205,24.4173,80.9346
758036,21.7662,83.9585
695525,8.3146,77.0686
244411,26.4493,79.9785
502205,18.0245,78.3419
801104,25.896,82.927
306105,25.3103,74.3908
627116,8.242,77.6455
246737,25.7796,80.3579
508113,18.6799,80.001
627119,8.3342,77.6257
586125,16.5608,75.9542
851128,26.2197,76.216
638452,11.455,77.4422
422203,20.0715,74.4015
587102,22.1566,75.9025
766032,21.8833,83.9333
343040,24.3508,72.1485
504292,26.0251,74.737
500012,17.48,78.4266
462036,25.4744,78.3202
413606,20.1097,76.5345
683573,9.9932,76.5442
805122,28.2519,79.6425
560089,12.9316,77.6041
577414,13.9511,75.9574
500053,18.6799,80.001
176081,27.9511,77.2466
643211,11.393,76.7088
625604,9.8114,77.2737
400075,19.0737,72.9009
621717,11.5258,79.1264
324003,25.102,75.7841
425406,20.4567,75.613
760006,20.2464,83.8504
764020,18.812,82.7105
829106,23.0261,81.4964
126114,28.5867,76.0399
306305,25.8861,74.7455
335040,29.0496,76.1625
473770,25.136,78.3134
388330,22.7914,74.4142
486450,26.0997,79.1992
781010,26.1673,91.7249
515521,15.1817,78.6722
205268,23.2117,77.4578
798617,26.3457,94.4892
575017,16.1388,80.124
782490,25.7299,90.487
271872,24.931,81.7291
560046,12.9985,77.6044
576234,13.5526,76.011
828301,24.7755,83.8287
518112,15.5178,78.3485
388170,22.8168,73.4062
781374,26.2939,87.7398
690518,9.5228,77.5414
577520,14.8104,76.7905
412213,19.4912,76.1751
604306,12.4939,79.9166
626133,10.4181,78.1373
143520,31.2444,77.0383
700053,23.9583,85.7628
802154,26.7789,79.1115
508285,13.0269,80.2406
805103,25.8912,86.6454
144102,28.7616,75.7048
466448,22.9054,78.0167
852123,29.6397,79.6841
263134,26.3281,77.7245
143002,13.1995,78.5157
229209,26.4272,80.2154
627424,8.6961,77.5189
272176,27.9893,81.4232
562160,13.3617,77.0877
854203,26.5156,79.7945
144703,29.7556,77.1554
277301,23.0103,79.8515
