areaCodePrefix,cluster1,cluster2,cluster3,cluster4,cluster5
176206,6,1,5,8,2
852115,1,8,5,6,3
422605,2,5,9,4,1
415015,2,9,4,5,8
591240,9,9,2,2,4
533262,4,9,2,0,8
786621,1,8,6,5,2
415214,2,9,5,4,0
496336,6,1,5,8,2
627657,0,9,4,2,8
743503,3,3,7,7,8
142044,6,1,5,8,2
752107,3,8,4,1,7
531029,4,9,2,0,8
387315,5,2,1,6,8
516339,9,4,0,2,8
481771,1,8,5,6,3
824209,1,8,5,2,6
671324,9,0,4,2,5
734311,7,3,8,1,6
524415,0,9,4,2,8
494661,4,2,8,9,1
770033,3,7,8,1,4
791102,7,7,3,3,8
344035,5,6,1,2,8
841438,6,6,1,1,5
521214,4,9,2,8,3
721645,3,7,8,4,1
795132,7,3,8,1,4
202141,1,1,8,8,6
628902,0,9,4,2,8
535593,4,3,8,9,2
759020,3,8,7,4,1
625503,0,9,4,2,8
583114,9,4,0,2,5
742163,3,7,8,1,4
521403,4,9,2,0,8
673522,0,9,4,2,5
754031,3,8,7,4,1
413002,2,4,5,9,8
679327,0,9,4,2,5
205268,5,1,2,8,4
585290,9,4,2,0,5
534134,9,0,4,2,8
722122,3,8,1,7,4
802158,1,1,8,8,6
612105,0,9,4,2,8
523304,9,9,4,4,0
305813,5,1,6,8,2
767062,3,8,4,1,2
688008,0,9,4,2,5
431103,6,5,1,8,2
382007,5,2,1,6,8
758085,3,8,4,7,1
852132,1,8,6,5,2
679322,0,9,4,2,5
577232,0,9,4,2,8
741249,3,8,4,7,1
522411,4,9,0,2,8
152112,6,1,5,8,2
796701,7,3,8,4,1
732207,8,3,1,7,6
284405,1,8,5,2,6
323802,5,2,1,6,8
531026,4,3,8,9,2
700072,3,7,8,4,1
331811,6,6,5,5,1
743349,3,8,7,4,1
495119,8,1,4,2,3
573141,9,0,4,2,8
713423,3,7,8,4,1
271303,1,8,6,3,5
202001,6,6,1,1,5
586201,0,9,4,2,8
277209,8,1,3,4,5
851120,1,6,5,8,2
303005,5,6,1,1,5
743337,3,7,8,4,1
783393,7,7,3,3,8
523226,4,9,0,2,8
802212,3,8,7,1,4
495442,8,1,3,4,2
211013,8,1,3,6,5
845438,1,8,6,5,3
495115,8,1,3,4,5
508373,4,9,3,8,0
591122,9,2,4,0,5
304504,5,1,6,8,2
140124,6,1,5,8,2
754162,8,1,3,6,5
516105,4,9,2,0,8
854318,3,3,7,7,8
515212,4,9,2,0,8
262902,1,6,6,8,1
786007,7,3,8,1,4
756133,3,8,4,1,7
477449,1,8,5,6,3
534450,2,4,9,5,8
505331,4,9,2,0,8
731126,3,7,8,1,4
606751,0,9,4,2,8
388430,5,5,2,2,1
574214,2,2,9,9,4
223101,1,8,5,6,2
759125,4,3,8,2,1
181141,6,1,5,8,2
845301,8,3,1,7,6
500101,4,9,2,0,8
209825,1,6,8,5,2
811305,1,6,8,5,3
425406,8,2,4,1,5
416230,2,5,4,9,1
480994,8,1,5,2,4
758002,4,8,3,2,9
444507,2,5,4,9,8
762029,3,8,4,1,2
421302,2,2,9,9,4
388205,5,1,2,8,6
491223,1,8,5,2,6
496338,8,1,3,5,4
783371,7,3,8,1,4
629502,0,9,4,2,8
146001,6,1,5,8,2
431213,2,2,2,2,9
764077,4,8,3,2,1
364270,2,5,1,9,4
383010,2,5,1,8,4
635751,0,9,4,2,8
670705,9,0,4,2,5
638055,0,9,4,2,8
601205,4,8,3,2,9
365601,5,5,2,2,1
736121,3,8,1,4,7
581328,9,0,2,4,5
246725,1,6,8,5,3
600037,0,9,4,2,8
342312,5,6,1,2,8
520012,4,9,0,2,8
577301,9,0,4,2,5
203202,1,6,5,8,2
473774,1,1,5,8,5
414202,2,5,4,9,8
612604,0,9,4,2,8
628905,0,9,4,2,8
627953,0,0,9,9,4
222136,1,8,6,5,3
160003,6,1,5,8,2
466446,5,2,1,8,4
785006,7,7,3,3,8
686582,9,0,4,2,5
431144,9,0,4,2,5
685581,0,9,4,2,8
635305,0,0,9,9,4
224158,1,8,6,5,3
283152,1,6,8,5,2
754206,3,8,4,7,1
516289,4,9,0,2,8
363621,5,2,1,6,8
766111,8,8,3,3,4
629802,0,9,4,2,8
629501,0,9,4,2,8
342307,5,6,1,2,8
845104,8,3,1,7,6
782001,7,3,8,1,4
815312,3,8,7,1,4
783384,3,8,7,1,6
586108,9,2,4,0,5
518573,4,4,9,9,3
742121,3,8,7,1,4
757105,3,8,1,7,4
450001,2,2,5,5,1
248199,8,1,2,5,4
472221,1,8,5,6,2
743354,3,7,8,4,1
281404,6,1,5,8,3
506349,4,9,2,0,8
757075,8,3,1,4,5
734429,7,3,8,1,6
756027,3,8,7,4,1
822113,1,1,8,8,6
271801,1,8,6,3,5
444303,6,5,2,1,1
261135,1,8,6,5,3
626102,0,9,4,2,8
614903,0,9,4,2,3
176028,6,1,5,8,2
431703,2,5,1,8,4
759100,8,3,1,4,2
583122,9,4,0,2,5
785107,7,3,8,1,4
277001,1,6,8,5,3
203394,1,6,8,5,3
210001,1,8,5,6,3
754201,3,4,8,7,1
628903,0,9,4,2,8
