areaCodePrefix,cluster1,cluster2,cluster3,cluster4,cluster5
803306,2,4,0,1,5
786614,2,5,1,4,0
425524,2,1,5,0,4
631209,3,1,5,0,2
603203,3,1,5,0,2
734010,0,2,4,1,5
207120,2,1,5,4,0
440025,1,5,2,3,4
834003,0,1,2,5,4
573136,3,5,1,0,2
415626,5,1,2,3,4
756128,0,1,2,5,4
626005,3,1,5,0,2
395004,2,5,1,4,3
413252,5,1,3,2,0
127022,2,4,5,1,0
461661,2,5,1,4,0
496220,0,1,5,2,4
500062,2,4,5,1,0
744101,0,3,1,5,2
524005,3,1,5,0,2
799264,0,2,4,1,5
682012,3,5,1,0,2
813205,2,0,1,4,5
758036,0,1,5,2,3
695525,3,5,1,0,2
244411,2,4,0,1,5
502205,1,5,3,0,2
801104,2,0,4,1,5
306105,2,4,5,1,3
627116,3,1,5,0,2
246737,2,4,0,1,5
508113,1,5,3,0,2
627119,3,1,5,0,2
586125,5,1,3,2,0
851128,2,4,5,1,0
638452,3,1,5,0,2
422203,5,1,3,2,4
587102,5,1,2,4,3
766032,0,1,5,2,3
343040,2,5,4,1,3
504292,2,4,5,1,0
500012,1,5,3,0,2
462036,2,4,1,5,0
413606,5,1,3,2,4
683573,3,5,1,0,2
805122,2,4,0,1,5
560089,3,1,5,0,2
577414,3,5,1,0,2
500053,1,5,3,0,2
176081,2,4,1,5,0
643211,3,5,1,0,2
625604,3,1,5,0,2
400075,5,1,3,2,4
621717,3,1,5,0,2
324003,2,4,5,1,0
425406,5,1,3,2,4
760006,0,1,5,3,2
764020,1,5,0,3,2
829106,0,1,2,5,4
126114,2,4,5,1,0
306305,2,4,5,1,0
335040,2,4,5,1,0
473770,2,4,1,5,0
388330,5,1,2,4,3
486450,2,4,1,5,0
781010,0,2,4,1,5
515521,3,1,5,0,2
205268,2,1,5,4,0
798617,0,2,4,1,5
575017,1,5,3,0,2
782490,0,2,4,1,5
271872,2,0,4,1,5
560046,3,1,5,0,2
576234,3,5,1,0,2
828301,0,2,4,1,5
518112,1,3,5,0,2
388170,5,1,2,4,3
781374,0,2,4,1,5
690518,3,1,5,0,2
577520,3,5,1,0,2
412213,5,1,3,2,4
604306,3,1,5,0,2
626133,3,1,5,0,2
143520,4,2,0,5,1
700053,0,2,1,4,5
802154,2,4,1,5,0
508285,3,1,5,0,2
805103,0,2,4,1,5
144102,2,4,5,1,0
466448,1,5,2,4,0
852123,2,4,0,1,5
263134,2,4,1,5,0
143002,3,1,5,0,2
229209,2,4,0,1,5
627424,3,1,5,0,2
272176,2,4,0,1,5
562160,3,5,1,0,2
854203,2,4,0,1,5
144703,4,2,5,1,0
277301,1,5,2,0,4
521185,1,5,3,0,2
845416,2,4,0,1,5
263658,2,4,0,1,5
246431,4,2,0,1,5
383305,2,5,1,4,3
587312,5,1,3,2,4
227806,2,4,1,5,0
713157,0,2,4,1,5
416143,5,1,3,2,0
757091,0,2,1,4,5
788803,0,2,1,5,4
764075,1,5,0,3,2
636811,3,1,5,0,2
504208,1,5,3,0,2
632114,3,1,5,0,2
245201,2,4,5,1,0
176403,2,4,5,1,0
175051,1,5,2,0,4
637018,3,1,5,0,2
624617,3,1,5,0,2
628302,3,5,1,0,2
413580,5,1,3,2,4
572136,3,1,5,0,2
641003,3,1,5,0,2
635702,3,1,5,0,2
533236,1,5,3,0,2
762103,0,1,5,2,3
230304,2,0,4,1,5
141015,5,1,3,2,4
767033,0,1,5,3,2
304503,2,4,5,1,0
343027,2,4,5,1,3
813109,0,2,4,1,5
577536,3,5,1,0,2
462043,1,5,2,4,0
713381,5,1,2,3,4
679516,3,5,1,0,2
770032,0,1,5,2,4
784513,0,2,4,1,5
326514,2,4,5,1,0
222142,2,4,0,1,5
641108,3,1,5,0,2
788111,0,2,4,1,5
332722,5,1,2,3,4
721440,0,1,2,5,4
172111,4,2,0,1,5
757075,0,2,1,5,4
177212,2,4,5,1,0
614706,3,1,5,0,2
848505,2,4,1,5,0
400024,5,1,3,2,4
695583,3,1,5,0,2
228119,2,4,0,1,5
785689,0,2,4,1,5
534166,1,5,3,0,2
422610,5,1,3,2,4
416703,5,1,3,2,0
243639,2,4,0,1,5
332707,2,4,5,1,0
577243,3,5,1,0,2
607205,3,1,5,0,2
712201,0,1,2,5,4
431722,5,1,3,2,0
533433,1,5,3,0,2
516115,1,5,3,0,2
125052,2,4,5,1,0
711306,0,1,2,5,4
689662,3,5,1,0,2
471301,2,4,1,5,0
134202,4,2,5,1,0
177208,4,2,0,1,5
638454,3,1,5,0,2
584126,5,1,3,0,2
678688,3,5,1,0,2
609105,3,1,5,0,2
482002,2,1,0,5,4
580029,5,1,3,2,0
523115,3,1,5,0,2
441113,1,5,3,2,0
522005,1,5,3,0,2
721448,0,2,1,4,5
416702,5,1,2,4,3
277207,0,2,4,1,5
741250,0,1,2,5,4
229307,2,4,1,0,5
385520,2,4,5,1,3
175129,2,4,0,1,5
680615,3,5,1,0,2
752114,0,1,5,3,2
803117,0,2,4,1,5
574150,3,5,1,0,2
532005,1,0,5,3,2
695316,3,5,1,0,2
523113,3,1,5,0,2
713342,0,1,2,5,4
628215,3,1,5,0,2
638052,3,1,5,0,2
484330,1,2,5,4,0
484220,5,1,3,2,0
231215,0,2,1,5,4
686531,3,5,1,0,2
491668,1,5,0,2,3
673603,3,1,5,0,2
414607,1,5,3,2,0
583124,3,5,1,0,2
396001,5,1,2,3,4
212404,2,4,1,5,0
813212,2,4,0,1,5
230204,2,4,0,1,5
571211,3,5,1,0,2
844113,2,4,0,1,5
400088,5,1,3,2,4
639111,3,1,5,0,2
754104,0,2,1,4,5
576124,1,5,3,0,2
517591,3,1,5,0,2
151212,4,2,5,1,0
670650,3,5,1,0,2
305403,2,4,5,1,0
637202,3,1,5,0,2
424103,5,1,2,3,4
401305,5,1,3,2,4
126101,2,4,1,5,0
841210,2,4,0,1,5
262576,2,4,1,5,0
695033,3,5,1,0,2
841232,2,4,0,1,5
131027,0,2,4,1,5
854117,0,2,4,1,5
495684,0,1,5,2,4
396002,5,1,2,3,4
424318,5,1,3,2,4
151504,4,2,5,1,0
636122,3,1,5,0,2
758046,0,1,5,2,4
190007,4,2,5,1,0
600129,3,1,5,0,2
391510,2,4,5,1,0
721516,2,4,1,0,5
206121,2,4,1,5,0
686005,3,5,1,0,2
495003,1,2,5,0,4
787032,0,2,4,1,5
680002,3,1,5,0,2
641110,3,1,5,0,2
176203,4,2,0,1,5
783332,0,2,4,1,5
403702,5,3,1,2,0
737132,0,2,4,1,5
560056,3,1,5,0,2
614404,3,1,5,0,2
493338,0,1,5,2,3
781001,0,2,4,1,5
691307,3,5,1,0,2
629177,3,1,5,0,2
577205,5,1,3,2,0
241303,2,4,0,1,5
572140,3,1,5,0,2
121102,2,4,5,1,0
695141,3,5,1,0,2
700071,0,1,2,5,4
403401,5,1,3,2,0
571448,3,5,1,0,2
413701,5,1,3,2,4
421203,5,1,3,2,4
181203,4,2,5,1,0
416436,4,2,0,1,5
382250,1,5,2,4,3
691010,3,5,1,0,2
756123,0,1,5,2,3
614401,3,1,5,0,2
791110,0,2,4,1,5
518101,1,5,3,0,2
517423,3,1,5,0,2
756137,0,1,5,2,4
533341,1,5,3,0,2
364050,5,1,2,4,3
756114,0,1,2,5,4
761207,0,1,5,2,3
623135,3,1,5,0,2
176071,4,2,5,1,0
721146,0,1,5,2,3
606108,3,1,5,0,2
577539,3,5,1,0,2
721644,0,1,2,5,4
574122,3,5,1,0,2
841224,2,4,1,5,0
506347,1,5,3,0,2
686002,3,5,1,0,2
574102,3,5,1,0,2
627117,3,1,5,0,2
742121,0,2,4,1,5
502267,1,5,3,0,2
695024,3,5,1,0,2
635207,3,1,5,0,2
444503,5,1,2,4,3
276207,2,0,1,5,4
581108,5,3,1,2,0
560105,3,1,5,0,2
413716,5,1,3,2,4
181143,4,2,5,1,0
764062,0,1,5,2,3
561206,3,1,5,0,2
515134,3,1,5,0,2
756047,2,0,4,1,5
524203,1,5,3,0,2
678553,3,5,1,0,2
335523,2,4,5,1,0
573116,3,5,1,0,2
131001,2,4,0,1,5
680011,3,1,5,0,2
671552,3,5,1,0,2
301023,2,4,1,5,0
583102,1,5,3,0,2
303002,2,4,5,1,0
462038,2,4,1,5,0
673017,3,5,1,0,2
502246,0,1,2,5,4
786103,0,2,4,1,5
262903,2,4,1,5,0
574145,3,5,1,2,0
781368,0,2,4,1,5
530031,1,0,5,3,2
422212,5,1,3,2,4
635112,3,1,5,0,2
561203,3,1,5,0,2
122108,2,4,5,1,0
400603,5,1,3,2,4
422605,5,1,2,3,4
828119,0,1,2,5,4
421302,5,1,3,2,0
305817,2,4,5,1,0
415521,5,1,3,2,4
533448,1,5,3,0,2
326516,5,2,1,4,3
444807,2,4,5,1,0
627851,3,1,5,0,2
825321,0,2,4,1,5
582103,5,1,3,2,0
152022,4,2,5,1,0
712102,0,1,5,2,4
841239,0,2,4,1,5
605103,3,1,5,0,2
591344,1,5,3,2,0
632518,3,1,5,0,2
271881,2,4,1,0,5
423604,5,1,3,2,4
442701,1,5,3,2,0
629165,3,5,1,0,2
791111,0,2,4,1,5
851213,4,2,5,1,0
144524,2,4,5,1,0
600075,3,1,5,0,2
394550,5,1,2,3,4
695018,3,5,1,0,2
321204,2,4,1,5,0
416517,5,1,3,2,4
683502,3,5,1,0,2
769010,0,1,5,2,4
843121,4,2,5,1,0
444501,1,5,2,3,4
249306,2,4,5,1,0
122001,2,4,0,1,5
612903,3,1,5,0,2
274408,2,0,4,1,5
631603,3,1,5,0,2
793004,2,0,1,4,5
624003,3,1,5,0,2
335041,4,2,5,1,0
502335,1,5,3,0,2
796891,0,1,2,5,4
221713,0,2,4,1,5
466111,5,1,2,4,0
835207,0,1,2,5,4
560300,3,1,5,0,2
400709,5,1,3,2,4
576214,3,5,1,2,0
631605,3,1,5,0,2
721154,2,4,0,1,5
125053,4,2,5,1,0
363002,5,1,2,4,3
690532,3,5,1,0,2
571111,3,5,1,0,2
686653,3,5,1,0,2
721629,0,1,5,2,4
800002,5,1,3,2,0
496225,0,1,2,5,4
636454,3,1,5,0,2
803121,2,4,0,1,5
814152,0,2,4,1,5
829122,2,4,1,5,0
742303,0,2,1,5,4
335702,2,4,5,1,0
495671,1,5,2,0,4
416303,5,1,3,2,4
391740,5,1,2,4,3
182124,4,2,5,1,0
229010,2,4,1,5,0
246734,2,1,4,5,0
321605,2,4,1,5,0
244223,2,4,0,1,5
365480,2,4,1,5,0
689664,3,5,1,0,2
757086,0,1,5,2,4
146021,4,2,0,1,5
